track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
1739441,1739441,1777708.375,GalaxyProperties_SFR_GE_0_z0.0.txt
2857525,2857525,714896.125,GalaxyProperties_SFR_GE_0_z0.0.txt
3193949,3193949,601504064.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4115762,4115762,267192.4375,GalaxyProperties_SFR_GE_0_z0.0.txt
4432300,4432300,514129.46875,GalaxyProperties_SFR_GE_0_z0.0.txt
12810156,12810156,275532.875,GalaxyProperties_SFR_GE_0_z0.0.txt
22134206,22134206,46691.65234375,GalaxyProperties_SFR_GE_0_z0.0.txt
22296382,22296382,520682.6875,GalaxyProperties_SFR_GE_0_z0.0.txt
194618,194618,145511.140625,GalaxyProperties_SFR_GE_0_z0.0.txt
879823,879823,420597.21875,GalaxyProperties_SFR_GE_0_z0.0.txt
1497493,1497493,1027067.4375,GalaxyProperties_SFR_GE_0_z0.0.txt
7467401,7467401,2089879.625,GalaxyProperties_SFR_GE_0_z0.0.txt
12812019,12812019,1644261.125,GalaxyProperties_SFR_GE_0_z0.0.txt
13717653,13717653,803066.625,GalaxyProperties_SFR_GE_0_z0.0.txt
749574,749574,173958.0625,GalaxyProperties_SFR_GE_0_z0.0.txt
1522338,1522338,2554562.25,GalaxyProperties_SFR_GE_0_z0.0.txt
1499768,1499768,1386898.5,GalaxyProperties_SFR_GE_0_z0.0.txt
4121942,4121942,5614317.5,GalaxyProperties_SFR_GE_0_z0.0.txt
7479209,7479209,33933736.0,GalaxyProperties_SFR_GE_0_z0.0.txt
437955,437955,8178411.5,GalaxyProperties_SFR_GE_0_z0.0.txt
6441,6441,1176166144.0,GalaxyProperties_SFR_GE_0_z0.0.txt
66759,66759,880513.75,GalaxyProperties_SFR_GE_0_z0.0.txt
364980,364980,413448.25,GalaxyProperties_SFR_GE_0_z0.0.txt
364984,364984,1037790.875,GalaxyProperties_SFR_GE_0_z0.0.txt
365602,365602,5862148.0,GalaxyProperties_SFR_GE_0_z0.0.txt
365623,365623,621959.625,GalaxyProperties_SFR_GE_0_z0.0.txt
437571,437571,271362.65625,GalaxyProperties_SFR_GE_0_z0.0.txt
4090155,4090155,882896.6875,GalaxyProperties_SFR_GE_0_z0.0.txt
5646214,5646214,536767.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
9858783,9858783,13630686.0,GalaxyProperties_SFR_GE_0_z0.0.txt
16499402,16499402,283277.59375,GalaxyProperties_SFR_GE_0_z0.0.txt
26365792,26365792,20017092.0,GalaxyProperties_SFR_GE_0_z0.0.txt
352794,352794,178743088.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1477811,1477811,4804102.0,GalaxyProperties_SFR_GE_0_z0.0.txt
